完,完,wán,complete; finish; settle; whole
设,設,shè,build; establish; display
式,式,shì,style; system; formula; rule
色,色,sè,color; tint; hue; shade; form; body; beauty; desire for beauty
路,路,lù,road; path; street; journey
记,記,jì,record; keep in mind; remember
南,南,nán,south; southern part; southward
品,品,pǐn,article; product; commodity
住,住,zhù,reside; live at; dwell; lodge; stop
告,告,gào,tell; announce; inform; accuse
类,類,lèi,class; group; kind; category
求,求,qiú,seek; demand; request; beseech
据,據,jù,to occupy; take possession of; a base; position
程,程,chéng,journey; trip; schedule; agenda
北,北,běi,north; northern; northward
边,邊,biān,edge; margin; side; border
死,死,sǐ,die; dead; death
张,張,zhāng,stretch; extend; expand; sheet
该,該,gāi,should; ought to; need to
交,交,jiāo,mix; intersect; exchange; communicate; deliver
规,規,guī,rules; regulations; customs; law
万,萬,wàn,ten thousand; innumerable
取,取,qǔ,take; receive; obtain; select
拉,拉,lā,pull; drag; seize; hold; lengthen
格,格,gé,pattern; standard; form; style
望,望,wàng,to look at; look forward; to hope; expect
觉,覺,jué,to wake up from sleep; conscious
术,術,shù,art; skill; special feat; method; technique
领,領,lǐng,neck; collar; lead; guide
共,共,gòng,together with; all; total; to share
确,確,què,sure; certain; real; true
传,傳,chuán,summon; propagate; transmit
师,師,shī,teacher; master; specialist
观,觀,guān,see; observe; view; appearance
清,清,qīng,clear; pure; clean; peaceful
今,今,jīn,now; today; modern era
切,切,qiè,cut; mince; slice; carve
院,院,yuàn,courtyard; yard; court; school
让,讓,ràng,allow; permit; yield; concede
识,識,shí,recognize; understand; know
候,候,hòu,wait; expect; visit; greet
带,帶,dài,belt; girdle; band; strap; zone
导,導,dǎo,direct; guide; lead; conduct
争,爭,zhēng,dispute; fight; contend; strive
运,運,yùn,run; simplified form of 運 luck; fortune; ship; transport
笑,笑,xiào,smile; laugh; giggle; snicker
飞,飛,fēi,fly; go quickly; dart; high
风,風,fēng,wind; air; manners; atmosphere
步,步,bù,step; pace; walk; stroll
改,改,gǎi,change; alter; improve; remodel
收,收,shōu,gather together; collect; harvest
根,根,gēn,root; base(d on); foundation
干,幹,gàn,oppose; offend; invade; dried
造,造,zào,construct; build; make; begin; prepare
言,言,yán,words; speech; speak; say
联,聯,lián,connect; join; associate; ally
持,持,chí,sustain; support; hold; grasp
组,組,zǔ,class; section; department
每,每,měi,every; each
济,濟,jì,help; aid; relieve; ferry; cross
车,車,chē,cart; vehicle; carry in cart
亲,親,qīn,relatives; parents; intimate the hazel nut or filbert tree a thorny tree
极,極,jí,extreme; utmost; furthest; final
林,林,lín,forest; grove; surname
服,服,fú,clothes; wear; dress
快,快,kuài,rapid; quick; speedy; fast; soon
办,辦,bàn,manage; do; handle; deal with
议,議,yì,consult; talk over; discuss
往,往,wǎng,go; depart; past; formerly
元,元,yuán,first; dollar; origin; head
英,英,yīng,petal; flower; leaf; brave; a hero; England; English
士,士,shì,scholar; gentleman; soldier
证,證,zhèng,prove; confirm; verify; proof
近,近,jìn,near; close; approach; intimate
失,失,shī,lose; make mistake; neglect
转,轉,zhuǎn,shift; move; turn
夫,夫,fū,man; male adult; husband; those
令,令,lìng,nan
准,準,zhǔn,approve; allow; permit; in accord
布,布,bù,cotton cloth; textiles; linen
始,始,shǐ,begin; start; then; only then
怎,怎,zěn,what? why? how?
呢,呢,ne,interrogative or emphatic final; (Cant.) this
存,存,cún,exist; live; be; survive; remain
未,未,wèi,not yet; 8th terrestrial branch
远,遠,yuǎn,distant; remote; far; profound
叫,叫,jiào,cry; shout; hail; greet; call
台,臺,tái,platform; unit; term of address
单,單,dān,single; individual; only; lone
影,影,yǐng,shadow; image; reflection; photograph
具,具,jù,tool; implement; draw up; write
罗,羅,luō,net for catching birds; gauze
字,字,zì,letter; character; word
爱,愛,ài,love; be fond of; like
击,擊,jī,strike; hit; beat; attack; fight
流,流,liú,flow; circulate; drift; class
备,備,bèi,prepare; ready; perfect
兵,兵,bīng,soldier; troops
连,連,lián,join; connect; continuous; even
调,調,diào,transfer; move; change; tune
深,深,shēn,deep; depth; far; very; extreme
商,商,shāng,commerce; business; trade
算,算,suàn,count; calculate; figure; plan
质,質,zhì,matter; material; substance
团,團,tuán,sphere; ball; circle; mass; lump
集,集,jí,assemble; collect together
百,百,bǎi,one hundred; numerous; many
需,需,xū,need; require; must
价,價,jià,price; value
花,花,huā,flower; blossoms
党,黨,dǎng,political party; gang; faction
华,華,huá,flowery; illustrious; Chinese
城,城,chéng,castle; city; town; municipality
石,石,shí,stone; rock; mineral; rad. 112
级,級,jí,level; rank; class; grade
整,整,zhěng,orderly; neat; tidy; whole
府,府,fǔ,prefecture; prefect; government
离,離,lí,rare beast; strange; elegant
况,況,kuàng,condition; situation; furthermore
亚,亞,yà,Asia; second
请,請,qǐng,ask; request; invite; please
技,技,jì,skill; ability; talent; ingenuity
际,際,jì,border; boundary; juncture
约,約,yuē,treaty; agreement; covenant
示,示,shì,show; manifest; demonstrate
复,復,fù,return; repeat; repeatedly
病,病,bìng,illness; sickness; disease
息,息,xī,rest; put stop to; end; cease
究,究,jiū,examine; investigate
线,線,xiàn,line; thread; wire; clue
似,似,shì,resemble; similar to; as if; seem
官,官,guān,official; public servant
火,火,huǒ,fire; flame; burn; anger; rage
断,斷,duàn,sever; cut off; interrupt
精,精,jīng,essence; semen; spirit
满,滿,mǎn,fill; full; satisfied
支,支,zhī,disperse; pay; support; branch
视,視,shì,look at; inspect; observe; see
消,消,xiāo,vanish; die out; melt away
越,越,yuè,exceed; go beyond; the more ...
器,器,qì,receptacle; vessel; instrument
容,容,róng,looks; appearance; figure; form
照,照,zhào,shine; illumine; reflect
须,須,xū,must; have to; necessary
九,九,jiǔ,nine
增,增,zēng,increase; add to; augment
研,研,yán,grind; rub; study; research
写,寫,xiě,write; draw; sketch; compose
称,稱,chēng,call; name; brand; address; say
企,企,qǐ,plan a project; stand on tiptoe
八,八,bā,eight; all around; all sides
功,功,gōng,achievement; merit; good result
吗,嗎,ma,final interrogative particle
包,包,bāo,wrap; pack; bundle; package
片,片,piàn,slice; splinter; strip; rad. 91
史,史,shǐ,history; chronicle; annals
委,委,wěi,appoint; send; commission
乎,乎,hū,interrogative or exclamatory final particle
查,查,chá,investigate; examine; seek into
轻,輕,qīng,light; easy; simple; gentle
易,易,yì,change; easy
早,早,zǎo,early; soon; morning
曾,曾,céng,already; sign of past
除,除,chú,eliminate; remove; except
农,農,nóng,agriculture; farming; farmer
找,找,zhǎo,search; seek; look for; find
装,裝,zhuāng,dress; clothes; attire; fill
广,廣,guǎng,wide; extensive; broad; rad. 53
显,顯,xiǎn,manifest; display; evident; clear
吧,吧,ba,emphatic final particle
阿,阿,ā,nan
李,李,lǐ,plum; judge; surname
标,標,biāo,mark; symbol; label; sign; stand the bole of a tree
谈,談,tán,talk; conversation; surname
吃,喫,chī,eat; drink; suffer; endure; bear
图,圖,tú,diagram; chart; map; picture
念,念,niàn,think of; recall; study
六,六,liù,number six
引,引,yǐn,to pull; draw out; attract; to stretch
历,歷,lì,history; calendar
首,首,shǒu,head; first; leader; chief; a poem
医,醫,yī,cure; heal; doctor; medical
局,局,jú,bureau; office; circumstance
突,突,tū,suddenly; abruptly; unexpectedly
专,專,zhuān,monopolize; take sole possession
费,費,fèi,expenses; expenditures; fee
号,號,hào,mark; sign; symbol; number
尽,盡,jǐn,exhaust; use up; deplete
另,另,lìng,another; separate; other
周,周,zhōu,Zhou dynasty; circumference
较,較,jiào,compare; comparatively; more
注,注,zhù,concentrate; focus; direct
语,語,yǔ,language; words; saying; expression
仅,僅,jǐn,only; merely; solely; just
考,考,kǎo,examine; test; investigate
落,落,luò,fall; drop; net income; surplus
青,青,qīng,blue; green; black; young
随,隨,suí,follow; listen to; submit to
选,選,xuǎn,choose; select; elect; election
列,列,liè,a line; to arrange in order; classify
武,武,wǔ,military; martial; warlike
红,紅,hóng,red; vermillion; blush; flush
响,響,xiǎng,make sound; make noise; sound
虽,雖,suī,although; even if
推,推,tuī,push; expel; push forward
势,勢,shì,power; force; tendency
参,參,cān,take part in; intervene; ginseng
希,希,xī,rare; hope; expect; strive for
古,古,gǔ,old; classic; ancient
众,衆,zhòng,multitude; crowd; masses; public
构,構,gòu,frame; building; structure
房,房,fáng,house; building; room
半,半,bàn,half
节,節,jié,knot; node; joint; section
土,土,tǔ,soil; earth; items made of earth
投,投,tóu,throw; cast; fling; pitch; jump
某,某,mǒu,certain thing or person
案,案,àn,table; bench; legal case
黑,黑,hēi,black; dark; evil; sinister
维,維,wéi,maintain; preserve; safeguard
革,革,gé,leather; animal hides; rad. 177
划,劃,huà,to row or paddle boat; to scratch
敌,敵,dí,enemy; foe; rival; resist
致,致,zhì,send; deliver; present; cause
陈,陳,chén,exhibit; display; plead; a surname
律,律,lǜ,statute; principle; regulation
足,足,zú,foot; attain; satisfy; enough
态,態,tài,manner; bearing; attitude
护,護,hù,protect; guard; defend; shelter
七,七,qī,seven
兴,興,xìng,thrive; prosper; flourish
派,派,pài,school of thought; sect; branch
孩,孩,hái,baby; child; children
验,驗,yàn,test; examine; inspect; verify
责,責,zé,nan
营,營,yíng,encampment; barracks; manage
星,星,xīng,a star; planet; any point of light
够,夠,gòu,enough; adequate
章,章,zhāng,composition; chapter; section
音,音,yīn,sound; tone; pitch; pronunciation
跟,跟,gēn,heel; to follow; accompany; with
志,志,zhì,purpose; will; determination; annals
底,底,dǐ,bottom; underneath; underside
站,站,zhàn,stand up; a stand; station
严,嚴,yán,strict; rigorous; rigid; stern
巴,巴,bā,greatly desire; anxiously hope
例,例,lì,precedent; example; regulation
防,防,fáng,defend; prevent; embankment
族,族,zú,a family clan; ethnic group; tribe
供,供,gōng,supply; provide for; offer in worship
效,效,xiào,result; effect; effectiveness
续,續,xù,continue; carry on; succeed
施,施,shī,grant; bestow; give; act; name
留,留,liú,stop; halt; stay; detain; keep
讲,講,jiǎng,explain; discuss; talk
型,型,xíng,pattern; model; type; law; mold
料,料,liào,consider; conjecture; materials; ingredients
终,終,zhōng,end; finally; in the end
答,答,dá,answer; reply; return; assent to
紧,緊,jǐn,tense; tight; taut; firm; secure
黄,黃,huáng,yellow; surname
绝,絕,jué,to cut; sever; break off; terminate
奇,奇,qí,strange; unusual; uncanny; occult
察,察,chá,examine; investigate; notice
母,母,mǔ,mother; female elders; female
京,京,jīng,capital city
段,段,duàn,section; piece; division
依,依,yī,rely on; be set in; consent; obey a wish
批,批,pī,comment; criticize; wholesale
群,羣,qún,(same as 羣) group; crowd; multitude; mob
项,項,xiàng,neck; nape of neck; sum; funds
故,故,gù,ancient; old; reason; because
按,按,àn,put hand on; press down with hand
河,河,hé,river; stream; yellow river
米,米,mǐ,hulled or husked uncooked rice
围,圍,wéi,surround; encircle; corral
江,江,jiāng,large river; yangzi; surname
织,織,zhī,weave; knit; organize; unite
害,害,hài,injure; harm; destroy; kill
斗,鬥,dòu,Chinese peck; liquid measure
双,雙,shuāng,set of two; pair; couple; both
境,境,jìng,boundary; frontier; area; region
客,客,kè,guest; traveller; customer
纪,紀,jì,record; annal; historical account
采,採,cǎi,collect; gather; pick; pluck
举,舉,jǔ,raise; lift up; recommend
杀,殺,shā,kill; slaughter; murder; hurt
攻,攻,gōng,attack; assault; criticize
父,父,fù,father; KangXi radical 88
苏,蘇,sū,nan
密,密,mì,dense; thick; close; intimate
低,低,dī,low; to lower; hang; bend; bow
朝,朝,cháo,dynasty; morning
友,友,yǒu,friend; companion; fraternity
诉,訴,sù,accuse; sue; inform; narrate
止,止,zhǐ,stop; halt; desist; detain
细,細,xì,fine; tiny; slender; thin
愿,願,yuàn,sincere; honest; virtuous
千,千,qiān,thousand; many; numerous; very; (Cant.) a cheater; swindler
值,值,zhí,price
仍,仍,réng,yet; still; as ever; again; keep -ing; continuing
男,男,nán,male; man; son; baron; surname
钱,錢,qián,money; currency; coins
破,破,pò,break; ruin; destroy; rout
网,網,wǎng,net; network; KangXi radical 122
热,熱,rè,hot; heat; fever; restless; zeal
助,助,zhù,help; aid; assist
倒,倒,dào,fall over; lie down; take turns
育,育,yù,produce; give birth to; educate
属,屬,shǔ,class; category; type; belong to
坐,坐,zuò,sit; seat; ride; travel by
帝,帝,dì,supreme ruler; emperor; god
限,限,xiàn,boundary; limit; line
船,船,chuán,ship; boat; vessel
脸,臉,liǎn,face; cheek; reputation
职,職,zhí,duty; profession; office; post
速,速,sù,quick; prompt; speedy
刻,刻,kè,carve; engrave; quarter hour
乐,樂,lè,happy; glad; enjoyable; music
否,否,fǒu,not; no; negative; final particle
刚,剛,gāng,hard; tough; rigid; strong
威,威,wēi,pomp; power; powerful; dominate
毛,毛,máo,hair; fur; feathers; coarse
状,狀,zhuàng,form; appearance; shape; official
率,率,lǜ,to lead; ratio; rate; limit
甚,甚,shén,great extent; considerably
独,獨,dú,alone; single; solitary; only
球,球,qiú,ball; sphere; globe; round
般,般,bān,sort; manner; kind; category
普,普,pǔ,universal; general; widespread
怕,怕,pà,to fear; be afraid of; apprehensive
弹,彈,dàn,pellet; bullet; shot; shell
校,校,xiào,school; military field officer
苦,苦,kǔ,bitter; hardship; suffering
创,創,chuàng,establish; create; knife cut
假,假,jiǎ,falsehood; deception; vacation
久,久,jiǔ,long time (ago); time passage; grow late
错,錯,cuò,error; blunder; mistake; wrong
承,承,chéng,inherit; receive; succeed
印,印,yìn,print; seal; stamp; chop; mark
晚,晚,wǎn,night; evening; late
兰,蘭,lán,orchid; elegant; graceful
试,試,shì,test; try; experiment
股,股,gǔ,thighs; haunches; rump; share
拿,拿,ná,take; hold; grasp; bring; with
脑,腦,nǎo,brain
预,預,yù,prepare; arrange; in advance
谁,誰,shuí,who? whom? whose? anyone?
益,益,yì,profit; benefit; advantage
阳,陽,yáng,nan
若,若,ruò,if; supposing; assuming; similar
哪,哪,nǎ,which? where? how?
微,微,wēi,small; prefix micro-; trifling
尼,尼,ní,Buddhist nun; transliteration
继,繼,jì,continue; maintain; carry on
送,送,sòng,see off; send off; dispatch; give
急,急,jí,quick; quickly; urgent; pressing
血,血,xuè,blood; radical number 143
惊,驚,jīng,frighten; surprise; startle
伤,傷,shāng,wound; injury; fall ill from
素,素,sù,white (silk); plain; vegetarian; formerly; normally
药,藥,yào,leaf of Dahurian angelica plant; medicine
适,適,shì,go; reach; appropriate; suitable
波,波,bō,waves; breakers; undulations
夜,夜,yè,night; dark; in night; by night
省,省,shěng,province; save; economize
初,初,chū,beginning; initial; primary
喜,喜,xǐ,like; love; enjoy; joyful thing
卫,衛,wèi,guard; protect; defend
源,源,yuán,spring; source; head; surname
食,食,shí,eat; meal; food; KangXi radical number 184
险,險,xiǎn,narrow pass; strategic point
待,待,dài,treat; entertain; receive; wait
述,述,shù,narrate; state; express
陆,陸,lù,land; continental; army
习,習,xí,practice; flapping wings
置,置,zhì,place; lay out; set aside
居,居,jū,live; dwell; reside; sit
劳,勞,láo,labor; toil; do manual work
财,財,cái,wealth; valuables; riches
环,環,huán,jade ring or bracelet; ring
排,排,pái,row; rank; line
福,福,fú,happiness; good fortune; blessing
纳,納,nà,admit; take; receive; accept
欢,歡,huān,happy; pleased; glad; joy; enjoy
雷,雷,léi,thunder
警,警,jǐng,guard; watch; alert; alarm
获,獲,huò,obtain; get; receive; seize
模,模,mó,model; standard; pattern; copy
充,充,chōng,fill; be full; supply
负,負,fù,load; burden; carry; bear
云,雲,yún,say; speak; clouds
停,停,tíng,stop; suspend; delay; suitable
木,木,mù,tree; wood; lumber; wooden
游,遊,yóu,to swim; float; drift; wander; roam
龙,龍,lóng,dragon; symbolic of emperor
树,樹,shù,tree; plant; set up; establish
疑,疑,yí,doubt; question; suspect
层,層,céng,storey; layer; floor; stratum
冷,冷,lěng,cold; cool; lonely
洲,洲,zhōu,continent; island; islet
冲,衝,chōng,soar; pour boiling water over
射,射,shè,shoot; eject; issue forth; emit
略,略,lüè,approximately; roughly; outline
范,範,fàn,surname; bee-like insect
竟,竟,jìng,finally; after all; at last
句,句,jù,sentence
室,室,shì,room; home; house; chamber
异,異,yì,different; unusual; strange
激,激,jī,arouse; excite; incite; quickly
汉,漢,hàn,Chinese people; Chinese language
村,村,cūn,village; hamlet; uncouth; vulgar
哈,哈,hā,sound of laughter
策,策,cè,scheme; plan; to whip; urge
演,演,yǎn,perform; put on; exercise
简,簡,jiǎn,simple; terse; succinct; a letter
卡,卡,kǎ,card; punch card; calorie
罪,罪,zuì,crime; sin; vice; evil; hardship
判,判,pàn,judge; discriminate; conclude
担,擔,dān,carry; bear; undertake
州,州,zhōu,administrative division; state
静,靜,jìng,quiet; still; motionless; gentle
退,退,tuì,step back; retreat; withdraw
既,既,jì,already; de facto; since; then
衣,衣,yī,clothes; clothing; cover; skin
您,您,nín,nan
宗,宗,zōng,lineage; ancestry; ancestor; clan
积,積,jī,accumulate; store up; amass
余,餘,yú,I; my; me; surname; surplus
痛,痛,tòng,pain; ache; sorry; sad; bitter
检,檢,jiǎn,check; examine
差,差,chà,to differ; different; wrong; nearly; almost; an officer
富,富,fù,abundant; ample; rich; wealthy
灵,靈,líng,spirit; soul; spiritual world
协,協,xié,be united; cooperate
角,角,jiǎo,horn; angle; corner; point
占,佔,zhàn,divine; observe; versify
配,配,pèi,match; pair; equal; blend
征,徵,zhēng,invade; attack; conquer
修,修,xiū,study; repair; cultivate
皮,皮,pí,skin; hide; fur; feather; outer
挥,揮,huī,direct; wipe away; squander
胜,勝,shèng,victory; excel; be better than
降,降,jiàng,descend; fall; drop; lower; down
阶,階,jiē,stairs; steps; rank; degree
审,審,shěn,examine; investigate; judge
沉,沉,chén,sink; submerge; addicted to
坚,堅,jiān,hard; strong; firm; resolute
善,善,shàn,good; virtuous; charitable; kind
妈,媽,mā,mother; mama
刘,劉,liú,surname; kill; destroy
读,讀,dú,read; study; pronounce
啊,啊,a,exclamatory particle
超,超,chāo,jump over; leap over; surpass
免,免,miǎn,spare; excuse from; evade
压,壓,yā,press; oppress; crush; pressure
银,銀,yín,silver; cash; money; wealth
买,買,mǎi,buy; purchase; bribe; persuade
皇,皇,huáng,royal; imperial; ruler; superior
养,養,yǎng,raise; rear; bring up; support
伊,伊,yī,third person pronoun; he; she; this; that
怀,懷,huái,bosom; breast; carry in bosom
执,執,zhí,hold in hand; keep; carry out
副,副,fù,assist; supplement; assistant
乱,亂,luàn,confusion; state of chaos; revolt
抗,抗,kàng,resist; oppose; defy; reject
犯,犯,fàn,commit crime; violate; criminal
追,追,zhuī,pursue; chase after; expel
帮,幫,bāng,help; assist; defend; shoe upper
宣,宣,xuān,declare; announce; proclaim
佛,佛,fú,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)
岁,歲,suì,year; age; harvest
航,航,háng,sail; navigate; ship; boat
优,優,yōu,superior; excellent; actor
怪,怪,guài,strange; unusual; peculiar
香,香,xiāng,fragrant; sweet smelling; incense
著,著,zhe,manifest; (Cant.) to wear
田,田,tián,field; arable land; cultivated
铁,鐵,tiě,iron; strong; solid; firm
控,控,kòng,accuse; charge; control
税,稅,shuì,taxes
左,左,zuǒ,left; east; unorthodox; improper
右,右,yòu,right; west; right-wing
份,份,fèn,portion; part; duty
穿,穿,chuān,penetrate; pierce; drill; wear
艺,藝,yì,art; talent; ability; craft
背,背,bèi,back; back side; behind; betray
阵,陣,zhèn,column; row or file of troops
草,草,cǎo,grass; straw; thatch; herbs
脚,腳,jiǎo,leg; foot; base; leg; foundation
概,概,gài,generally; approximately
恶,惡,è,evil; wicked; bad; foul
块,塊,kuài,piece; lump; dollar
顿,頓,dùn,pause; stop; bow; kowtow; arrange
敢,敢,gǎn,to dare; venture; bold; brave
守,守,shǒu,defend; protect; guard; conserve
酒,酒,jiǔ,wine; spirits; liquor; alcoholic beverage
岛,島,dǎo,island
托,託,tuō,to hold up with palm; to support; rely on
央,央,yāng,center; conclude; run out; beg
户,戶,hù,door; family
烈,烈,liè,fiery; violent; vehement; ardent
洋,洋,yáng,ocean; sea; foreign; western
哥,哥,gē,elder brother
索,索,suǒ,large rope; cable; rules; laws; to demand; to exact; to search; inquire; isolated
胡,胡,hú,recklessly; foolishly; wildly
款,款,kuǎn,item; article; clause; fund
靠,靠,kào,lean on; trust; depend on; near
评,評,píng,appraise; criticize; evaluate
版,版,bǎn,printing blocks; edition
宝,寶,bǎo,treasure; jewel; precious; rare
座,座,zuò,seat; stand; base
释,釋,shì,interprete; elucidate; release
景,景,jǐng,scenery; view; conditions
顾,顧,gù,look back; look at; look after
弟,弟,dì,young brother; junior; i; me
登,登,dēng,rise; mount; board; climb
货,貨,huò,goods; commodities; products
互,互,hù,mutually; reciprocally
付,付,fù,give; deliver; pay; hand over; entrust
伯,伯,bó,nan
慢,慢,màn,slow(ly); leisurely; sluggish
欧,歐,ōu,translit.: Europe; ohm; surname
换,換,huàn,change
闻,聞,wén,hear; smell; make known; news
危,危,wēi,dangerous; precarious; high
忙,忙,máng,busy; pressed for time; hustling
核,核,hé,seed; kernel; core; nut; atom
暗,暗,àn,dark; obscure; in secret; covert
姐,姐,jiě,elder sister; young lady
介,介,jiè,forerunner; herald; harbinger; to lie between; sea shell; to wear armor
坏,壞,huài,rotten; spoilt; bad; broken down
讨,討,tǎo,to discuss; ask for; beg; demand; dun; marry
丽,麗,lì,beautiful; magnificent; elegant
良,良,liáng,good; virtuous; respectable
序,序,xù,series; serial order; sequence
升,升,shēng,arise; go up; hoist; advance
监,監,jiān,supervise; control; direct
临,臨,lín,draw near; approach; descend
亮,亮,liàng,bright; brilliant; radiant; light
露,露,lù,dew; bare; open; exposed
永,永,yǒng,long; perpetual; eternal; forever
呼,呼,hū,breathe sigh; exhale; call; shout
味,味,wèi,taste; smell; odor; delicacy
野,野,yě,open country; field; wilderness
架,架,jià,rack; stand; prop; prop up
域,域,yù,district; region; boundary; land
沙,沙,shā,sand; gravel; pebbles; granulated
掉,掉,diào,turn; move; shake; wag; drop down
括,括,kuò,include; embrace; enclose
舰,艦,jiàn,warship
鱼,魚,yú,fish; surname; KangXi radical 195
杂,雜,zá,mixed; blended; mix; mingle
误,誤,wù,err; make mistake; interfere
湾,灣,wān,bay; cove; inlet; bend of stream
吉,吉,jí,lucky; propitious; good
减,減,jiǎn,decrease; subtract; diminish
编,編,biān,knit; weave; arrange; compile
楚,楚,chǔ,name of feudal state; clear
肯,肯,kěn,willing; consent to; permit
测,測,cè,measure; estimate; conjecture
败,敗,bài,be defeated; decline; fail
屋,屋,wū,house; room; building; shelter
跑,跑,pǎo,run; flee; leave in hurry
梦,夢,mèng,dream; visionary; wishful
散,散,sàn,scatter; disperse; break up
温,溫,wēn,lukewarm
困,困,kùn,to surround; beseige; to be surrounded; difficult
剑,劍,jiàn,sword; dagger; saber
渐,漸,jiàn,gradually
封,封,fēng,letter; envelope; feudal
救,救,jiù,save; rescue; relieve; help; aid
贵,貴,guì,expensive; costly; valuable
枪,槍,qiāng,spear; lance; gun; rifle
缺,缺,quē,be short of; lack; gap; deficit
楼,樓,lóu,building of two or more stories
县,縣,xiàn,county; district; subdivision
尚,尚,shàng,still; yet; even; fairly; rather
毫,毫,háo,fine hair; measure of length
移,移,yí,change place; shift; move about
娘,娘,niáng,mother; young girl; woman; wife
朋,朋,péng,friend; pal; acquaintance
画,畫,huà,a painting; picture; drawing; to draw
班,班,bān,class; group; grade; squad; job
智,智,zhì,wisdom; knowledge; intelligence
亦,亦,yì,also; too; likewise
耳,耳,ěr,ear; merely; only; handle
恩,恩,ēn,kindness; mercy; charity
短,短,duǎn,short; brief; deficient; lacking
掌,掌,zhǎng,palm of hand; sole of foot; paw
恐,恐,kǒng,fear; fearful; apprehensive
遗,遺,yí,lose; articles lost; omit
固,固,gù,to become solid; solidify; strength
席,席,xí,seat; mat; take seat; banquet
松,松,sōng,pine tree; fir tree
秘,祕,mì,secret; mysterious; abstruse
谢,謝,xiè,thank; decline
鲁,魯,lǔ,foolish; stupid; rash; vulgar
遇,遇,yù,meet; come across; encounter
康,康,kāng,peaceful; quiet; happy; healthy
